,Factory,Madewell,Mercantile,Retail,Subtotal,Total,When
0,96.0,32.0,0.0,234,330.0,362.0,2012:Beginning of year
1,10.0,17.0,0.0,19,29.0,46.0,New
2,0.0,-1.0,0.0,-6,-6.0,-7.0,Closed
3,106.0,48.0,0.0,247,353.0,401.0,End of year
4,106.0,48.0,0.0,247,353.0,401.0,2013:Beginning of year
5,15.0,17.0,0.0,19,34.0,51.0,New
6,0.0,0.0,0.0,-1,-1.0,-1.0,Closed
7,121.0,65.0,0.0,265,386.0,451.0,End of year
8,121.0,65.0,0.0,265,386.0,451.0,2014:Beginning of year
9,18.0,20.0,0.0,17,35.0,55.0,New
10,0.0,0.0,0.0,-2,-2.0,-2.0,Closed
11,139.0,85.0,0.0,280,419.0,504.0,End of year
12,139.0,85.0,0.0,280,419.0,504.0,2015:Beginning of year
13,12.0,18.0,10.0,9,31.0,49.0,New
14,0.0,0.0,0.0,-4,-4.0,-4.0,Closed
15,151.0,103.0,10.0,285,446.0,549.0,End of year
16,151.0,103.0,10.0,285,446.0,549.0,2016:Beginning of year
17,2.0,10.0,19.0,3,24.0,34.0,New
18,-9.0,0.0,10.0,-1,0.0,0.0,Converted to J.Crew Mercantile
19,-2.0,0.0,0.0,-8,-10.0,-10.0,Closed
20,142.0,113.0,39.0,279,460.0,573.0,End of year
21,142.0,113.0,39.0,279,460.0,573.0,2017:Beginning of year
22,1.0,8.0,0.0,1,2.0,10.0,New
23,0.0,0.0,3.0,-3,0.0,0.0,Converted to J.Crew Mercantile
24,-9.0,0.0,0.0,-42,-51.0,-51.0,Closed
25,134.0,121.0,42.0,235,411.0,532.0,End of year
